product_name,tags,url,strain
PURE - MOONBOW #112 1 GRAMS,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/treehouse-603/menu/pure-moonbow-112-1-grams,moonbow
PURE - MOONBOW #112 3.5 GRAMS,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/treehouse-603/menu/pure-moonbow-112-3-5-grams,moonbow
Mama J's - Moonbow 1g,,https://weedmaps.com/dispensaries/emerald-leaves-recreational/menu/mama-j-s-moonbow-1g,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/house-of-dank-313/menu/moonbow-112-3-5g,moonbow
Moonbow - Alien Labs 100% Live Resin 1g Cart,Flower; Hybrid,https://weedmaps.com/dispensaries/sunset-herbal-corner-2-2/menu/moonbow-alien-labs-100-live-resin-1g-cart,moonbow
Archive Moonbow 112 1g Indoor Preroll,Flower; Hybrid,https://weedmaps.com/dispensaries/420-for-the-people/menu/archive-moonbow-112-1g-indoor-preroll,moonbow
Alien Labs X Archive Seed Bank - Moonbow #112 Smalls 14 Grams,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/cookies-sanfrancisco/menu/alien-labs-x-archive-seed-bank-moonbow-112-smalls-14-grams,moonbow
Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/taste-buds-detroit-michigan/menu/moonbow-112,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/taste-buds-detroit-michigan/menu/moonbow-112-3-5g,moonbow
Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/cannacure/menu/moonbow-112,moonbow
PR_Alien Labs - Moonbow - Cone (1g),Flower; Hybrid,https://weedmaps.com/dispensaries/the-apothecarium/menu/pr_alien-labs-moonbow-cone-1g,moonbow
MoonBow 112 - Indoor,Flower; Recreational,https://weedmaps.com/dispensaries/santa-barbara-care-center/menu/moonbow-112-indoor,moonbow
(ADULT-USE) Pure Options | Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/pure-options-east-lansing/menu/adult-use-pure-options-moonbow,moonbow
Connected | Connected- Moonbow Preroll 1G,Flower; Indica,https://weedmaps.com/dispensaries/seaweed-sf-1/menu/connected-connected-moonbow-preroll-1g,moonbow
(REC) Moonbow 26.60% THC,Flower; Hybrid,https://weedmaps.com/dispensaries/pinnacle-emporium-3/menu/rec-moonbow-26-60-thc,moonbow
MED | DNVK 5 | Moonbow #7 | Bulk,,https://weedmaps.com/dispensaries/consume-cannabis-harrisville/menu/med-dnvk-5-moonbow-7-bulk,moonbow
REC | EPS | Moonbow #7 | Bulk,Flower; Hybrid,https://weedmaps.com/dispensaries/consume-cannabis-harrisville/menu/rec-eps-moonbow-7-flower-bulk,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/house-of-dank-center-line-med/menu/moonbow-112-3-5g,moonbow
MoonBow 112 - Indoor,,https://weedmaps.com/dispensaries/otc-dispensary-lounge/menu/moonbow-112-indoor,moonbow
Connected | Connected || Moonbow 112 || 1.0g Preroll,Flower; Indica,https://weedmaps.com/dispensaries/high-times-oakland/menu/connected-connected-moonbow-112-1-0g-preroll,moonbow
